prompt_version,call_id,provider_status,model,prompt_hash,input_hash,attempts,latency_ms,input_tokens,output_tokens,criterion_id,status,explanation,utterance_ids,quotes,review_required
v1,CALL-001,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,3cf00ef8922839a8f368214c083680d4f3152cda28b08b2dfda31599c00e302f,0,,,,1,met,В указанных репликах есть требуемое действие.,"[""CALL-001-u01""]","[""Здравствуйте, я менеджер учебной команды. Цель — обсудить учёт заявок.""]",False
v1,CALL-001,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,3cf00ef8922839a8f368214c083680d4f3152cda28b08b2dfda31599c00e302f,0,,,,2,met,В указанных репликах есть требуемое действие.,"[""CALL-001-u02"", ""CALL-001-u03""]","[""Что сейчас мешает работе?"", ""Теряем заявки при передаче между сменами.""]",False
v1,CALL-001,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,3cf00ef8922839a8f368214c083680d4f3152cda28b08b2dfda31599c00e302f,0,,,,3,met,В указанных репликах есть требуемое действие.,"[""CALL-001-u04"", ""CALL-001-u05""]","[""Сколько человек передают заявки и когда нужна система?"", ""Пять человек, до конца месяца.""]",False
v1,CALL-001,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,3cf00ef8922839a8f368214c083680d4f3152cda28b08b2dfda31599c00e302f,0,,,,4,met,В указанных репликах есть требуемое действие.,"[""CALL-001-u03"", ""CALL-001-u06""]","[""Теряем заявки при передаче между сменами."", ""Для передачи между пятью сотрудниками предлагаю общую очередь с историей заявки.""]",False
v1,CALL-001,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,3cf00ef8922839a8f368214c083680d4f3152cda28b08b2dfda31599c00e302f,0,,,,5,not_met,В полной записи клиент не высказывал возражений.,[],[],False
v1,CALL-001,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,3cf00ef8922839a8f368214c083680d4f3152cda28b08b2dfda31599c00e302f,0,,,,6,met,В указанных репликах есть требуемое действие.,"[""CALL-001-u07"", ""CALL-001-u08""]","[""Пришлю план сегодня, а во вторник в 10:00 вместе посмотрим демо. Подходит?"", ""Да, подходит.""]",False
v1,CALL-001,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,3cf00ef8922839a8f368214c083680d4f3152cda28b08b2dfda31599c00e302f,0,,,,7,met,В указанных репликах есть требуемое действие.,"[""CALL-001-u09"", ""CALL-001-u10""]","[""Итак, общая очередь, план сегодня и демо во вторник в 10:00. Всё верно?"", ""Да.""]",False
v1,CALL-002,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,590580df10e75fff30f65f4f4dcaefbf51f3fd811a2825bc447626f825568d57,0,,,,1,met,В указанных репликах есть требуемое действие.,"[""CALL-002-u01""]","[""Выдуманная цитата для проверки механизма.""]",True
v1,CALL-002,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,590580df10e75fff30f65f4f4dcaefbf51f3fd811a2825bc447626f825568d57,0,,,,2,met,В указанных репликах есть требуемое действие.,"[""CALL-002-u02"", ""CALL-002-u03""]","[""Яка головна проблема?"", ""Не бачимо, які заявки ще без відповіді.""]",True
v1,CALL-002,demo,demo-fixture,341e56f9a08f1ac72d001ea979a7b1b1249905f7a2f4a2542b99a52e5de82521,590580df10e75fff30f65f4f4dcaefbf51f3fd811a2825bc447626f825568d57,0,,,,3,met,В указанных репликах есть требуемое действие.,"[""CALL-002-u04"", ""CALL-002-u05""]","[""Скільки заявок щодня і хто перевіряє чергу?"", ""Двадцять, перевіряє керівник.""]",True
